date,add,remove
2018-10-31,"LIN","PX"
2019-01-18,"TFX","PCG"
2019-02-15,"ATO","NFX"
2019-02-27,"WAB","GT"
2019-04-02,"DOW","BHF"
2019-06-01,"LHX","HRS"
2019-06-03,"CTVA,DD","FLR,DWDP"
2019-06-07,"AMCR","MAT"
2019-07-01,"MKTX","LLL"
2019-07-15,"TMUS","RHT"
2019-08-08,"GL","TMK"
2019-08-09,"IEX,LDOS","FL,APC"
2019-09-23,"CDW","TSS"
2019-09-26,"NVR","JEF"
2019-10-03,"LVS","NKTR"
2019-10-18,"BKR","BHGE"
2019-11-05,"PEAK,NLOK","HCP,SYMC"
2019-11-21,"NOW","CELG"
2019-12-05,"WRB,VIAC","VIAB,CBS"
2019-12-09,"ODFL,TFC","STI,BBT"
2019-12-10,"J","JEC"
2019-12-23,"STE,ZBRA,LYV","MAC,TRIP,AMG"
2020-01-28,"PAYC","WCG"
2020-03-03,"TT","XEC"
2020-04-03,"RTX,OTIS,CARR","UTX"
2020-04-06,"HWM","ARNC,RTN,M"
2020-05-12,"DXCM,DPZ","AGN,CPRI"
2020-05-22,"WST","HP"
2020-06-22,"TYL,TDY,BIO","JWN,HOG,ADS"
